Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
31;60;10000;4;1;1;1;1303
31;60;10000;4;1;1;1;1303
31;60;10000;4;1;1;1;1325
31;60;10000;4;1;1;1;1284
31;60;10000;4;1;1;1;1284
31;60;10000;4;1;1;2;1315
31;60;10000;4;1;1;2;1315
31;60;10000;4;1;1;2;1315
31;60;10000;4;1;1;2;1315
31;60;10000;4;1;1;2;1315
31;60;10000;4;1;1;2;1315
34;15;5000;4;1;1;0;1273
34;15;5000;4;1;1;0;1273
34;15;5000;4;1;1;0;1273
34;15;5000;4;1;1;0;1273
34;15;5000;4;1;1;0;1273
34;15;5000;4;1;1;0;1273
34;15;5000;4;1;1;1;1284
34;15;5000;4;1;1;1;1303
34;15;5000;4;1;1;1;1314
34;15;5000;4;1;1;1;1315
34;15;5000;4;1;1;1;1273
34;15;5000;4;1;1;1;1310
34;15;5000;4;1;1;2;1315
34;15;5000;4;1;1;2;1331
34;15;5000;4;1;1;2;1315
34;15;5000;4;1;1;2;1315
34;15;5000;4;1;1;2;1345
34;15;5000;4;1;1;2;1315
34;15;10000;4;1;1;0;1273
34;15;10000;4;1;1;0;1273
34;15;10000;4;1;1;0;1273
34;15;10000;4;1;1;0;1273
34;15;10000;4;1;1;0;1273
34;15;10000;4;1;1;0;1273
34;15;10000;4;1;1;1;1314
34;15;10000;4;1;1;1;1307
34;15;10000;4;1;1;1;1315
34;15;10000;4;1;1;1;1314
34;15;10000;4;1;1;1;1303
34;15;10000;4;1;1;1;1315
34;15;10000;4;1;1;2;1345
34;15;10000;4;1;1;2;1341
34;15;10000;4;1;1;2;1331
34;15;10000;4;1;1;2;1315
34;15;10000;4;1;1;2;1351
34;15;10000;4;1;1;2;1315
34;30;5000;4;1;1;0;1273
34;30;5000;4;1;1;0;1273
34;30;5000;4;1;1;0;1273
34;30;5000;4;1;1;0;1273
34;30;5000;4;1;1;0;1273
34;30;5000;4;1;1;0;1273
34;30;5000;4;1;1;1;1303
34;30;5000;4;1;1;1;1284
34;30;5000;4;1;1;1;1304
34;30;5000;4;1;1;1;1307
34;30;5000;4;1;1;1;1284
34;30;5000;4;1;1;1;1284
34;30;5000;4;1;1;2;1315
34;30;5000;4;1;1;2;1341
34;30;5000;4;1;1;2;1315
34;30;5000;4;1;1;2;1315
34;30;5000;4;1;1;2;1315
34;30;5000;4;1;1;2;1315
34;30;10000;4;1;1;0;1273
34;30;10000;4;1;1;0;1273
34;30;10000;4;1;1;0;1273
34;30;10000;4;1;1;0;1273
34;30;10000;4;1;1;0;1273
34;30;10000;4;1;1;0;1273
34;30;10000;4;1;1;1;1314
34;30;10000;4;1;1;1;1301
34;30;10000;4;1;1;1;1321
34;30;10000;4;1;1;1;1303
34;30;10000;4;1;1;1;1301
34;30;10000;4;1;1;1;1284
34;30;10000;4;1;1;2;1315
34;30;10000;4;1;1;2;1345
34;30;10000;4;1;1;2;1357
34;30;10000;4;1;1;2;1351
34;30;10000;4;1;1;2;1357
34;30;10000;4;1;1;2;1315
34;60;5000;4;1;1;0;1273
34;60;5000;4;1;1;0;1273
34;60;5000;4;1;1;0;1273
34;60;5000;4;1;1;0;1273
34;60;5000;4;1;1;0;1273
34;60;5000;4;1;1;0;1273
34;60;5000;4;1;1;1;1273
34;60;5000;4;1;1;1;1300
34;60;5000;4;1;1;1;1273
34;60;5000;4;1;1;1;1273
34;60;5000;4;1;1;1;1303
34;60;5000;4;1;1;1;1284
34;60;5000;4;1;1;2;1315
34;60;5000;4;1;1;2;1331
34;60;5000;4;1;1;2;1331
34;60;5000;4;1;1;2;1315
34;60;5000;4;1;1;2;1331
34;60;5000;4;1;1;2;1315
34;60;10000;4;1;1;0;1273
34;60;10000;4;1;1;0;1273
34;60;10000;4;1;1;0;1273
34;60;10000;4;1;1;0;1273
34;60;10000;4;1;1;0;1273
34;60;10000;4;1;1;0;1273
34;60;10000;4;1;1;1;1303
34;60;10000;4;1;1;1;1273
34;60;10000;4;1;1;1;1304
34;60;10000;4;1;1;1;1303
34;60;10000;4;1;1;1;1273
34;60;10000;4;1;1;1;1303
34;60;10000;4;1;1;2;1315
34;60;10000;4;1;1;2;1331
34;60;10000;4;1;1;2;1315
34;60;10000;4;1;1;2;1315
34;60;10000;4;1;1;2;1315
34;60;10000;4;1;1;2;1331
37;15;5000;4;1;1;0;1273
37;15;5000;4;1;1;0;1273
37;15;5000;4;1;1;0;1273
37;15;5000;4;1;1;0;1273
37;15;5000;4;1;1;0;1273
37;15;5000;4;1;1;0;1273
37;15;5000;4;1;1;1;1284
37;15;5000;4;1;1;1;1304
37;15;5000;4;1;1;1;1273
37;15;5000;4;1;1;1;1303
37;15;5000;4;1;1;1;1303
37;15;5000;4;1;1;1;1310
37;15;5000;4;1;1;2;1315
37;15;5000;4;1;1;2;1331
37;15;5000;4;1;1;2;1345
37;15;5000;4;1;1;2;1331
37;15;5000;4;1;1;2;1315
37;15;5000;4;1;1;2;1315
37;15;10000;4;1;1;0;1273
37;15;10000;4;1;1;0;1273
37;15;10000;4;1;1;0;1273
37;15;10000;4;1;1;0;1273
37;15;10000;4;1;1;0;1273
37;15;10000;4;1;1;0;1273
37;15;10000;4;1;1;1;1330
37;15;10000;4;1;1;1;1303
37;15;10000;4;1;1;1;1303
37;15;10000;4;1;1;1;1310
37;15;10000;4;1;1;1;1300
37;15;10000;4;1;1;1;1304
37;15;10000;4;1;1;2;1351
37;15;10000;4;1;1;2;1331
37;15;10000;4;1;1;2;1345
37;15;10000;4;1;1;2;1345
37;15;10000;4;1;1;2;1357
37;15;10000;4;1;1;2;1315
37;30;5000;4;1;1;0;1273
37;30;5000;4;1;1;0;1273
37;30;5000;4;1;1;0;1273
37;30;5000;4;1;1;0;1273
37;30;5000;4;1;1;0;1273
37;30;5000;4;1;1;0;1273
37;30;5000;4;1;1;1;1303
37;30;5000;4;1;1;1;1314
37;30;5000;4;1;1;1;1304
37;30;5000;4;1;1;1;1273
37;30;5000;4;1;1;1;1304
37;30;5000;4;1;1;1;1303
37;30;5000;4;1;1;2;1315
37;30;5000;4;1;1;2;1315
37;30;5000;4;1;1;2;1315
37;30;5000;4;1;1;2;1331
37;30;5000;4;1;1;2;1315
37;30;5000;4;1;1;2;1331
37;30;10000;4;1;1;0;1273
37;30;10000;4;1;1;0;1273
37;30;10000;4;1;1;0;1273
37;30;10000;4;1;1;0;1273
37;30;10000;4;1;1;0;1273
37;30;10000;4;1;1;0;1273
37;30;10000;4;1;1;1;1303
37;30;10000;4;1;1;1;1310
37;30;10000;4;1;1;1;1300
37;30;10000;4;1;1;1;1303
37;30;10000;4;1;1;1;1284
37;30;10000;4;1;1;1;1303
37;30;10000;4;1;1;2;1331
37;30;10000;4;1;1;2;1315
37;30;10000;4;1;1;2;1315
37;30;10000;4;1;1;2;1315
37;30;10000;4;1;1;2;1345
37;30;10000;4;1;1;2;1345
37;60;5000;4;1;1;0;1273
37;60;5000;4;1;1;0;1273
37;60;5000;4;1;1;0;1273
37;60;5000;4;1;1;0;1273
37;60;5000;4;1;1;0;1273
37;60;5000;4;1;1;0;1273
37;60;5000;4;1;1;1;1273
37;60;5000;4;1;1;1;1284
37;60;5000;4;1;1;1;1314
37;60;5000;4;1;1;1;1284
37;60;5000;4;1;1;1;1303
37;60;5000;4;1;1;1;1300
37;60;5000;4;1;1;2;1315
37;60;5000;4;1;1;2;1315
37;60;5000;4;1;1;2;1315
37;60;5000;4;1;1;2;1315
37;60;5000;4;1;1;2;1315
37;60;5000;4;1;1;2;1315
37;60;10000;4;1;1;0;1273
37;60;10000;4;1;1;0;1273
37;60;10000;4;1;1;0;1273
37;60;10000;4;1;1;0;1273
37;60;10000;4;1;1;0;1273
37;60;10000;4;1;1;0;1273
37;60;10000;4;1;1;1;1273
37;60;10000;4;1;1;1;1302
37;60;10000;4;1;1;1;1303
37;60;10000;4;1;1;1;1294
37;60;10000;4;1;1;1;1273
37;60;10000;4;1;1;1;1284
37;60;10000;4;1;1;2;1315
37;60;10000;4;1;1;2;1345
37;60;10000;4;1;1;2;1315
37;60;10000;4;1;1;2;1341
37;60;10000;4;1;1;2;1315
37;60;10000;4;1;1;2;1315
