Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas
ftv47.atsp;100;0.01;1000;0.95;1;1;180000;2096;0.458801
ftv47.atsp;100;0.001;1000;0.99;1;1;1146000;2096;2.97511
ftv47.atsp;1000;0.01;1000;0.99;1;0;1146000;2096;2.95971
ftv47.atsp;1000;0.1;1000;0.99;1;0;917000;2097;2.46807
ftv47.atsp;1000;0.01;1000;0.95;1;1;225000;2097;0.573666
ftv47.atsp;1000;0.1;1000;0.9;1;1;88000;2099;0.250747
ftv47.atsp;100;0.01;1000;0.95;1;1;180000;2100;0.451994
ftv47.atsp;100;0.01;1000;0.99;1;1;917000;2100;2.33673
ftv47.atsp;100;0.1;1000;0.99;1;0;688000;2101;sty.88
ftv47.atsp;1000;0.001;100;0.95;1;1;27000;2101;0.068751
ftv47.atsp;100;0.01;1000;0.99;1;1;917000;2102;2.41194
ftv47.atsp;100;0.001;1000;0.99;1;0;1146000;2102;2.83288
ftv47.atsp;100;0.1;10;0.99;1;1;6880;2103;0.0182165
ftv47.atsp;1000;0.001;10;0.99;1;1;13750;2103;0.0356167
ftv47.atsp;1000;0.001;1000;0.85;1;1;86000;2103;0.232816
ftv47.atsp;100;0.1;1000;0.95;1;1;135000;2104;0.400528
ftv47.atsp;100;0.01;100;0.99;1;1;91700;2104;0.230739
ftv47.atsp;1000;0.001;100;0.9;1;1;13200;2104;0.0338879
ftv47.atsp;100;0.1;100;0.95;1;1;13500;2105;0.0347124
ftv47.atsp;1000;0.01;100;0.99;1;0;114600;2107;0.295288
ftv47.atsp;100;0.001;1000;0.9;1;1;110000;2109;0.281826
ftv47.atsp;1000;0.1;1000;0.95;1;0;180000;2109;0.471258
ftv47.atsp;100;0.01;1000;0.99;1;0;917000;2111;2.27905
ftv47.atsp;1000;0.001;100;0.99;1;1;137500;2111;0.360803
ftv47.atsp;1000;0.001;1000;0.85;1;1;86000;2111;0.259121
ftv47.atsp;1000;0.1;100;0.99;1;1;91700;2112;0.239493
ftv47.atsp;1000;0.001;1000;0.95;1;0;270000;2112;0.695336
ftv47.atsp;1000;0.001;1000;0.9;1;1;132000;2113;0.340165
ftv47.atsp;1000;0.01;1000;0.85;1;1;71000;2114;0.179647
ftv47.atsp;1000;0.001;1000;0.9;1;1;132000;2114;0.332544
ftv47.atsp;1000;0.01;1000;0.95;1;0;225000;2115;0.574589
ftv47.atsp;100;0.1;100;0.99;1;1;68800;2117;0.180158
ftv47.atsp;100;0.001;100;0.85;1;1;7100;2117;0.018778
ftv47.atsp;1000;0.01;1000;0.9;1;1;110000;2117;0.286414
ftv47.atsp;1000;0.01;1000;0.99;1;0;1146000;2117;3.09776
ftv47.atsp;100;0.001;100;0.99;1;0;114600;2119;0.313736
ftv47.atsp;1000;0.001;100;0.85;1;1;8600;2119;0.0228902
ftv47.atsp;100;0.01;1000;0.85;1;1;57000;2120;0.143786
ftv47.atsp;1000;0.1;1000;0.95;1;1;180000;2120;0.491567
ftv47.atsp;100;0.01;1000;0.99;1;0;917000;2121;2.32088
ftv47.atsp;100;0.001;100;0.99;1;1;114600;2121;0.299581
ftv47.atsp;1000;0.01;1000;0.99;1;0;1146000;2123;3.09636
ftv47.atsp;100;0.1;1000;0.99;1;0;688000;2124;sty.96
ftv47.atsp;100;0.01;1000;0.99;1;0;917000;2124;lut.11
ftv47.atsp;1000;0.01;100;0.99;1;1;114600;2124;0.290591
ftv47.atsp;100;0.001;100;0.95;1;1;22500;2125;0.0591826
ftv47.atsp;1000;0.001;1000;0.85;1;1;86000;2125;0.242133
ftv47.atsp;100;0.001;1000;0.99;1;0;1146000;2128;lut.88
ftv47.atsp;1000;0.001;100;0.99;1;0;137500;2128;0.336081
ftv47.atsp;100;0.001;100;0.95;1;1;22500;2129;0.0576681
ftv47.atsp;100;0.001;1000;0.85;1;0;71000;2129;0.291063
ftv47.atsp;1000;0.1;1000;0.99;1;1;917000;2129;2.36007
ftv47.atsp;100;0.001;1000;0.99;1;0;1146000;2131;lut.51
ftv47.atsp;100;0.001;10;0.99;1;1;11460;2132;0.0306229
ftv47.atsp;1000;0.001;1000;0.9;1;1;132000;2134;0.334045
ftv47.atsp;1000;0.1;1000;0.95;1;1;180000;2135;0.495455
ftv47.atsp;1000;0.1;1000;0.99;1;0;917000;2135;2.39385
ftv47.atsp;1000;0.001;100;0.99;1;0;137500;2135;0.336211
