Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;1.19509;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.19615;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.23754;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.24335;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27620;1.22718;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.38801;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;sty.61;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.23197;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.20406;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.197;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.20406;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27620;1.31209;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.24963;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.20217;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.23434;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.26396;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27620;1.24414;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;sty.78;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;1.22947;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.19097;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27830;1.18822;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27830;1.19693;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.18952;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27620;1.33054;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;1.32908;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.35173;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.26101;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.19786;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.22644;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;1.21964;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;1.22707;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27736;1.24226;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.24858;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.25156;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27620;1.20602;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;1.21596;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;1.28262;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.26959;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;1.34109;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;1.20478;;Optym;Minimum;Maksimum;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;1.24638;27626,16;25395;27534;27830;8,785823981;0,432771945;8,422917897;9,588501674
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.45356;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27759;2.62461;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.42534;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.51913;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.45436;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27759;2.43668;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.40719;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.42366;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27768;2.54891;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27759;2.43766;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27768;2.46069;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27759;2.44936;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.41093;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.42233;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27759;lut.43;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.42134;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.43376;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27620;2.46389;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27759;2.57418;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27759;2.41171;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.43525;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.43926;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27768;2.43404;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27620;lut.87;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.43382;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.63293;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.47212;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.48205;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.39306;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27620;2.66139;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27620;lut.83;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;lut.87;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.89901;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.58124;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27614;2.67659;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27759;2.48132;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27759;2.37359;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27620;2.38753;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.37337;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.99;1;2;917000;27534;2.36914;;;;;;;;
