Instancja;Czas;Jednostka;Wynik;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;412;443;438;437;435;;;;bez memetycznego;;memetycz insert;;;;
ftv47.atsp;21163;ms;1957;1957;1957;1957;1957;1957;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;21539;ms;1841;1841;1841;1841;1841;1841;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;21789;ms;1869;1869;1869;1869;1869;1869;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20543;ms;1838;1838;1838;1838;1838;1838;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20459;ms;1872;1872;1872;1872;1872;1872;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20429;ms;1902;1902;1902;1902;1902;1902;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20499;ms;1940;1940;1940;1940;1940;1940;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20581;ms;1882;1882;1882;1882;1882;1882;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20566;ms;1979;1979;1979;1979;1979;1979;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20559;ms;1889;1889;1889;1889;1889;1889;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20544;ms;1872;1872;1872;1872;1872;1872;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20536;ms;1869;1869;1869;1869;1869;1869;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20526;ms;1873;1873;1873;1873;1873;1873;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20515;ms;1838;1838;1838;1838;1838;1838;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20702;ms;1923;1923;1923;1923;1923;1923;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20508;ms;1933;1933;1933;1933;1933;1933;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20564;ms;1841;1841;1841;1841;1841;1841;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20562;ms;1935;1935;1935;1935;1935;1935;;;1;1;1;1;1;;;;;;;;;;
