Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas
ftv33.atsp;1000;0.001;1000;0.999;0;1;13809000;1349;33.8213;;ftv35.atsp;1000;0.01;1000;0.94;0;1;187000;1566;0.464413;;ry48p.atsp;100;0.01;1000;0.9;0;1;88000;14710;0.216558;;ft53.atsp;100;0.001;1000;0.94;0;1;187000;7364;0.481303
ftv33.atsp;1000;0.001;1000;0.82;0;1;70000;1350;0.173358;;ftv35.atsp;1000;0.01;1000;0.94;0;1;187000;1566;0.460848;;ry48p.atsp;100;0.01;1000;0.86;0;1;62000;14712;0.153523;;ft53.atsp;100;0.001;1000;0.92;0;1;139000;7365;0.340561
ftv33.atsp;1000;0.001;1000;0.8;0;1;62000;1350;0.155364;;ftv35.atsp;1000;0.01;1000;0.94;0;1;187000;1566;0.46123;;ry48p.atsp;100;0.01;1000;0.82;0;1;47000;14715;0.114211;;ft53.atsp;100;0.001;1000;0.96;0;1;283000;7365;0.727616
ftv33.atsp;1000;0.001;1000;0.88;0;1;109000;1350;0.274544;;ftv35.atsp;1000;0.01;1000;0.94;0;1;187000;1566;0.46318;;ry48p.atsp;100;0.01;1000;0.96;0;1;226000;14725;0.556646;;ft53.atsp;100;0.001;1000;0.8;0;1;52000;7366;0.134327
ftv33.atsp;1000;0.001;1000;0.86;0;1;92000;1351;0.225259;;ftv35.atsp;1000;0.01;1000;0.94;0;1;187000;1566;0.458382;;ry48p.atsp;100;0.01;1000;0.96;0;1;226000;14727;0.560119;;ft53.atsp;100;0.001;1000;0.88;0;1;91000;7366;0.233179
ftv33.atsp;1000;0.001;1000;0.86;0;1;92000;1351;0.22605;;ftv35.atsp;1000;0.01;1000;0.94;0;1;187000;1566;0.463786;;ry48p.atsp;100;0.01;1000;0.96;0;1;226000;14734;0.563302;;ft53.atsp;100;0.001;1000;0.88;0;1;91000;7367;0.223365
ftv33.atsp;1000;0.001;1000;0.92;0;1;166000;1351;0.404509;;ftv35.atsp;1000;0.01;1000;0.96;0;1;283000;1566;0.710163;;ry48p.atsp;100;0.01;1000;0.84;0;1;53000;14742;0.132346;;ft53.atsp;100;0.001;1000;0.8;0;1;52000;7368;0.127068
ftv33.atsp;1000;0.001;1000;0.96;0;1;339000;1351;0.827424;;ftv35.atsp;1000;0.01;1000;0.96;0;1;283000;1566;0.707197;;ry48p.atsp;100;0.01;1000;0.92;0;1;111000;14747;0.275338;;ft53.atsp;100;0.001;1000;0.88;0;1;91000;7370;0.225234
ftv33.atsp;1000;0.001;1000;0.94;0;1;224000;1351;0.580989;;ftv35.atsp;1000;0.01;1000;0.96;0;1;283000;1566;0.711178;;ry48p.atsp;100;0.01;1000;0.92;0;1;111000;14747;0.280768;;ft53.atsp;100;0.001;1000;0.96;0;1;283000;7370;0.771178
ftv33.atsp;1000;0.001;1000;0.94;0;1;224000;1351;0.551879;;ftv35.atsp;1000;0.01;1000;0.96;0;1;283000;1566;0.713937;;ry48p.atsp;100;0.01;1000;0.94;0;1;149000;14750;0.367447;;ft53.atsp;100;0.001;1000;0.92;0;1;139000;7372;0.340714
