Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;;;;;
ftv44.atsp;10026;ms;1690;239;150;3;0.15;2;2;2;5;1;10;1683,7;1623;239;;;;;;;;;;;;
ftv44.atsp;10014;ms;1766;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10010;ms;1699;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10030;ms;1713;253;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10000;ms;1669;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10003;ms;1716;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10001;ms;1730;255;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10016;ms;1729;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10002;ms;1726;253;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10017;ms;1788;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10027;ms;1730;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10017;ms;1757;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10016;ms;1768;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10003;ms;1659;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10011;ms;1650;255;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10021;ms;1640;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10031;ms;1730;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10026;ms;1659;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10000;ms;1685;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10027;ms;1716;255;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10008;ms;1793;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10026;ms;1721;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10020;ms;1730;254;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10002;ms;1730;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10009;ms;1698;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10028;ms;1787;253;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10014;ms;1691;255;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10025;ms;1777;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10021;ms;1685;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10002;ms;1650;255;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10020;ms;1691;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10018;ms;1669;255;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10029;ms;1730;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10031;ms;1729;255;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10020;ms;1704;255;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10010;ms;1761;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10004;ms;1719;252;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10012;ms;1814;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10024;ms;1640;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10018;ms;1730;254;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10008;ms;1699;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10034;ms;1681;258;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
