Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10012;ms;1666;262;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10017;ms;1718;255;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10031;ms;1649;256;150;3;0.15;2;1;2;15;1;10;1690;1640;;;;;;;;;;;;;;;;;
ftv44.atsp;10026;ms;1669;250;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10002;ms;1729;262;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10008;ms;1650;262;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10021;ms;1650;264;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10006;ms;1729;256;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10023;ms;1693;264;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10012;ms;1627;263;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10002;ms;1669;262;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10018;ms;1713;264;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10020;ms;1669;263;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10006;ms;1754;264;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10023;ms;1706;262;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
