Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;;;;;;;;;;;;;;;;
ftv44.atsp;6636;ms;1723;1;19;15;18;18;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;6955;ms;1704;1;15;12;13;14;13;;;;;;;;;;;;;;;;;;
ftv44.atsp;7015;ms;1704;1;17;14;16;16;14;;;;;;;;;;;;;;;;;;
ftv44.atsp;6820;ms;1669;1;17;15;17;18;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;7122;ms;1709;1;16;13;15;15;13;;;;;;;;;;;;;;;;;;
ftv44.atsp;6823;ms;1717;1;16;14;16;17;14;;;;;;;;;;;;;;;;;;
ftv44.atsp;7096;ms;1711;1;17;14;16;15;14;;;;;;;;;;;;;;;;;;
ftv44.atsp;6680;ms;1704;1;17;13;16;16;14;;;;;;;;;;;;;;;;;;
ftv44.atsp;6465;ms;1704;1;17;14;17;17;14;;;;;;;;;;;;;;;;;;
ftv44.atsp;7601;ms;1704;1;16;13;15;15;13;;;;;;;;;;;;;;;;;;
ftv44.atsp;6847;ms;1704;1;18;15;17;18;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;7676;ms;1704;1;13;10;12;12;11;;;;;;;;;;;;;;;;;;
ftv44.atsp;8108;ms;1704;1;15;12;13;13;12;;;;;;;;;;;;;;;;;;
ftv44.atsp;6733;ms;1704;1;17;15;17;16;14;;;;;;;;;;;;;;;;;;
ftv44.atsp;6600;ms;1704;1;18;15;17;18;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;6716;ms;1704;1;18;16;18;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;7469;ms;1704;1;14;11;13;14;12;;;;;;;;;;;;;;;;;;
ftv44.atsp;7038;ms;1717;1;18;14;16;15;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;7064;ms;1717;1;14;12;14;14;11;;;;;;;;;;;;;;;;;;
ftv44.atsp;7133;ms;1704;1;15;12;14;14;12;;;;;;;;;;;;;;;;;;
ftv44.atsp;6755;ms;1704;1;16;13;16;16;14;;;;;;;;;;;;;;;;;;
ftv44.atsp;6472;ms;1704;1;17;15;17;17;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;6526;ms;1666;1;20;16;18;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6669;ms;1704;1;18;16;18;18;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6573;ms;1684;1;17;14;17;17;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;6624;ms;1704;1;19;16;19;18;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6676;ms;1704;1;19;15;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6605;ms;1704;1;19;16;18;17;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6833;ms;1702;1;17;14;17;17;13;;;;;;;;;;;;;;;;;;
ftv44.atsp;7482;ms;1719;1;17;14;17;17;14;;;;;;;;;;;;;;;;;;
ftv44.atsp;6830;ms;1704;1;19;16;18;20;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;6334;ms;1704;1;19;15;19;19;16;;;;;;;;;;;;;;;;;;
