Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;
rbg358.atsp;26337;ms;1753;1;2;2;2;2;2;
rbg358.atsp;26857;ms;1760;1;2;2;2;2;2;
rbg358.atsp;26488;ms;1754;1;2;2;2;2;2;
rbg358.atsp;26613;ms;1756;1;2;2;2;2;2;
rbg358.atsp;27040;ms;1755;1;2;2;2;2;2;
rbg358.atsp;26990;ms;1754;1;2;2;2;2;2;
rbg358.atsp;26912;ms;1753;1;2;2;2;2;2;
rbg358.atsp;26909;ms;1752;1;2;2;2;2;2;
rbg358.atsp;27334;ms;1756;1;2;2;2;2;2;
rbg358.atsp;28257;ms;1759;1;2;2;2;2;2;
rbg358.atsp;28179;ms;1752;1;2;2;2;2;2;
rbg358.atsp;28551;ms;1759;1;2;2;2;2;2;
rbg358.atsp;28886;ms;1754;1;2;2;2;2;2;
rbg358.atsp;27829;ms;1756;1;2;2;2;2;2;
rbg358.atsp;27707;ms;1761;1;2;2;2;2;2;
rbg358.atsp;27772;ms;1753;1;2;2;2;2;2;
rbg358.atsp;28295;ms;1756;1;2;2;2;2;2;
rbg358.atsp;27659;ms;1755;1;2;2;2;2;1;
rbg358.atsp;28370;ms;1743;1;2;2;2;2;2;
rbg358.atsp;28744;ms;1759;1;2;2;2;2;2;
rbg358.atsp;28325;ms;1749;1;2;2;2;2;2;
rbg358.atsp;26962;ms;1756;1;2;2;2;2;2;
rbg358.atsp;28005;ms;1756;1;2;2;2;2;2;
rbg358.atsp;28011;ms;1760;1;2;2;2;2;2;
rbg358.atsp;28362;ms;1754;1;2;2;2;2;2;
rbg358.atsp;28464;ms;1753;1;2;2;2;2;2;
rbg358.atsp;28556;ms;1749;1;2;2;2;2;2;
rbg358.atsp;28344;ms;1756;1;2;2;2;2;2;
rbg358.atsp;28034;ms;1749;1;2;2;2;2;2;
rbg358.atsp;27139;ms;1756;1;2;2;2;2;1;
rbg358.atsp;28043;ms;1753;1;2;2;2;2;2;
rbg358.atsp;28864;ms;1756;1;2;2;2;2;2;
