Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;;;;;;;;;;;
ftv55.atsp;29767;ms;1704;1;124;124;144;144;128;;;;;;;;;;;;;
ftv55.atsp;29621;ms;1702;1;123;123;144;143;124;;;;;;;;;;;;;
ftv55.atsp;29788;ms;1704;1;122;121;143;143;129;;;;;;;;;;;;;
ftv55.atsp;29701;ms;1704;1;122;125;145;147;122;;;;;;;;;;;;;
ftv55.atsp;31062;ms;1629;1;122;121;142;145;126;;;;;;;;;;;;;
ftv55.atsp;29903;ms;1704;1;122;124;146;142;125;;;;;;;;;;;;;
ftv55.atsp;29614;ms;1659;1;120;123;144;145;123;;;;;;;;;;;;;
ftv55.atsp;29654;ms;1636;1;126;123;142;141;122;;;;;;;;;;;;;
ftv55.atsp;29559;ms;1628;1;125;124;145;142;127;;;;;;;;;;;;;
ftv55.atsp;29567;ms;1704;1;124;120;143;146;125;;;;;;;;;;;;;
ftv55.atsp;29548;ms;1668;1;123;125;143;145;124;;;;;;;;;;;;;
ftv55.atsp;29712;ms;1704;1;123;124;141;143;128;;;;;;;;;;;;;
ftv55.atsp;29601;ms;1661;1;125;123;141;146;126;;;;;;;;;;;;;
ftv55.atsp;29698;ms;1668;1;121;121;139;143;125;;;;;;;;;;;;;
ftv55.atsp;29588;ms;1704;1;123;122;144;143;123;;;;;;;;;;;;;
ftv55.atsp;29508;ms;1704;1;121;120;146;143;122;;;;;;;;;;;;;
ftv55.atsp;29620;ms;1659;1;124;123;143;144;124;;;;;;;;;;;;;
ftv55.atsp;29699;ms;1629;1;123;125;146;142;125;;;;;;;;;;;;;
ftv55.atsp;29563;ms;1698;1;124;123;142;145;124;;;;;;;;;;;;;
ftv55.atsp;29871;ms;1704;1;125;119;147;144;125;;;;;;;;;;;;;
ftv55.atsp;29441;ms;1628;1;124;120;144;141;125;;;;;;;;;;;;;
ftv55.atsp;29694;ms;1661;1;125;123;144;143;124;;;;;;;;;;;;;
ftv55.atsp;29923;ms;1704;1;119;124;141;140;127;;;;;;;;;;;;;
ftv55.atsp;29664;ms;1704;1;124;118;141;142;124;;;;;;;;;;;;;
ftv55.atsp;29703;ms;1629;1;119;117;142;141;121;;;;;;;;;;;;;
ftv55.atsp;29657;ms;1628;1;123;123;146;146;123;;;;;;;;;;;;;
ftv55.atsp;29824;ms;1629;1;124;121;146;144;128;;;;;;;;;;;;;
ftv55.atsp;29845;ms;1704;1;122;123;140;136;123;;;;;;;;;;;;;
ftv55.atsp;29682;ms;1628;1;121;123;146;145;124;;;;;;;;;;;;;
ftv55.atsp;29670;ms;1704;1;124;124;147;144;125;;;;;;;;;;;;;
ftv55.atsp;29707;ms;1716;1;126;125;141;141;126;;;;;;;;;;;;;
ftv55.atsp;29756;ms;1649;1;124;120;142;141;124;;;;;;;;;;;;;
ftv55.atsp;29604;ms;1659;1;124;121;143;143;125;;;;;;;;;;;;;
ftv55.atsp;29709;ms;1704;1;125;121;144;142;126;;;;;;;;;;;;;
ftv55.atsp;29943;ms;1704;1;125;123;145;142;126;;;;;;;;;;;;;
ftv55.atsp;29674;ms;1704;1;118;123;143;138;124;;;;;;;;;;;;;
ftv55.atsp;29674;ms;1704;1;121;122;140;138;122;;;;;;;;;;;;;
ftv55.atsp;29770;ms;1704;1;125;124;147;141;125;;;;;;;;;;;;;
ftv55.atsp;29595;ms;1704;1;122;123;140;142;122;;;;;;;;;;;;;
ftv55.atsp;29781;ms;1704;1;126;122;147;146;125;;;;;;;;;;;;;
ftv55.atsp;29675;ms;1661;1;122;123;146;143;126;;;;;;;;;;;;;
ftv55.atsp;29718;ms;1704;1;122;122;140;145;124;;;;;;;;;;;;;
ftv55.atsp;29608;ms;1704;1;122;124;142;145;123;;;;;;;;;;;;;
ftv55.atsp;29889;ms;1629;1;125;123;144;145;122;;;;;;;;;;;;;
ftv55.atsp;29644;ms;1704;1;121;123;143;145;125;;;;;;;;;;;;;
ftv55.atsp;29986;ms;1629;1;128;123;144;145;125;;;;;;;;;;;;;
ftv55.atsp;29854;ms;1704;1;122;124;142;142;125;;;;;;;;;;;;;
ftv55.atsp;29690;ms;1654;1;122;123;146;144;124;;;;;;;;;;;;;
ftv55.atsp;29811;ms;1704;1;122;123;143;142;123;;;;;;;;;;;;;
ftv55.atsp;29680;ms;1668;1;123;122;143;147;126;;;;;;;;;;;;;
ftv55.atsp;29655;ms;1629;1;123;122;142;147;127;;;;;;;;;;;;;
ftv55.atsp;29841;ms;1704;1;123;122;143;146;125;;;;;;;;;;;;;
ftv55.atsp;29488;ms;1628;1;122;124;142;140;125;;;;;;;;;;;;;
ftv55.atsp;29728;ms;1629;1;124;127;140;140;123;1679.6;1627;129.610101;32.09244082;1716;;;;;;;;
ftv47.atsp;25841;ms;1833;1;149;154;179;179;152;;;;;;;;;;;;;
ftv47.atsp;25418;ms;1795;1;156;157;188;184;158;;;;;;;;;;;;;
ftv47.atsp;25505;ms;1840;1;156;155;184;187;157;;;;;;;;;;;;;
ftv47.atsp;25646;ms;1827;1;156;154;189;187;156;;;;;;;;;;;;;
ftv47.atsp;25399;ms;1838;1;156;156;185;189;159;;;;;;;;;;;;;
ftv47.atsp;25548;ms;1840;1;157;158;186;186;157;;;;;;;;;;;;;
ftv47.atsp;25394;ms;1842;1;155;155;189;184;158;;;;;;;;;;;;;
ftv47.atsp;25360;ms;1838;1;158;157;187;183;158;;;;;;;;;;;;;
ftv47.atsp;25523;ms;1845;1;156;157;184;186;156;;;;;;;;;;;;;
ftv47.atsp;25368;ms;1827;1;156;155;189;186;157;;;;;;;;;;;;;
ftv47.atsp;25342;ms;1840;1;157;154;187;185;156;;;;;;;;;;;;;
ftv47.atsp;25486;ms;1776;1;154;154;187;184;156;;;;;;;;;;;;;
ftv47.atsp;25535;ms;1795;1;157;156;188;185;157;;;;;;;;;;;;;
ftv47.atsp;25503;ms;1842;1;157;156;188;188;153;;;;;;;;;;;;;
ftv47.atsp;25420;ms;1777;1;158;155;188;187;158;;;;;;;;;;;;;
ftv47.atsp;25619;ms;1790;1;154;152;186;181;155;;;;;;;;;;;;;
ftv47.atsp;25540;ms;1801;1;152;154;184;186;155;;;;;;;;;;;;;
ftv47.atsp;25350;ms;1845;1;157;152;186;186;158;;;;;;;;;;;;;
ftv47.atsp;25594;ms;1838;1;158;155;179;185;156;;;;;;;;;;;;;
ftv47.atsp;25315;ms;1795;1;156;154;184;185;156;;;;;;;;;;;;;
ftv47.atsp;25413;ms;1840;1;157;156;182;181;159;;;;;;;;;;;;;
ftv47.atsp;25489;ms;1888;1;156;153;183;186;157;;;;;;;;;;;;;
ftv47.atsp;25528;ms;1777;1;155;154;188;189;157;;;;;;;;;;;;;
ftv47.atsp;25553;ms;1840;1;154;156;186;185;158;;;;;;;;;;;;;
ftv47.atsp;25600;ms;1790;1;156;157;186;186;155;;;;;;;;;;;;;
ftv47.atsp;25395;ms;1838;1;157;154;185;186;157;;;;;;;;;;;;;
ftv47.atsp;25350;ms;1863;1;157;157;183;185;158;;;;;;;;;;;;;
ftv47.atsp;25494;ms;1845;1;157;156;188;185;157;;;;;;;;;;;;;
ftv47.atsp;25299;ms;1888;1;156;155;188;188;154;;;;;;;;;;;;;
ftv47.atsp;25472;ms;1790;1;157;155;185;185;156;;;;;;;;;;;;;
ftv47.atsp;25302;ms;1776;1;153;155;184;188;158;;;;;;;;;;;;;
ftv47.atsp;25506;ms;1790;1;156;154;188;183;158;;;;;;;;;;;;;
ftv47.atsp;25566;ms;1790;1;157;158;184;187;156;;;;;;;;;;;;;
ftv47.atsp;25489;ms;1833;1;157;158;187;189;156;;;;;;;;;;;;;
ftv47.atsp;25323;ms;1820;1;155;157;190;187;159;;;;;;;;;;;;;
ftv47.atsp;25386;ms;1838;1;158;157;188;189;155;;;;;;;;;;;;;
ftv47.atsp;25361;ms;1790;1;154;153;188;187;158;;;;;;;;;;;;;
ftv47.atsp;25477;ms;1790;1;156;156;188;187;158;;;;;;;;;;;;;
ftv47.atsp;25431;ms;1827;1;154;156;185;185;154;;;;;;;;;;;;;
ftv47.atsp;25430;ms;1790;1;154;156;185;185;159;;;;;;;;;;;;;
ftv47.atsp;25544;ms;1827;1;156;156;184;185;154;;;;;;;;;;;;;
ftv47.atsp;25619;ms;1863;1;154;153;185;182;154;;;;;;;;;;;;;
ftv47.atsp;25533;ms;1827;1;151;152;184;186;154;;;;;;;;;;;;;
ftv47.atsp;25558;ms;1842;1;153;152;182;184;154;;;;;;;;;;;;;
ftv47.atsp;25520;ms;1842;1;157;154;186;185;158;;;;;;;;;;;;;
ftv47.atsp;25510;ms;1833;1;154;153;186;185;157;;;;;;;;;;;;;
ftv47.atsp;25483;ms;1860;1;156;153;181;184;155;;;;;;;;;;;;;
ftv47.atsp;25409;ms;1845;1;154;152;182;183;153;;;;;;;;;;;;;
ftv47.atsp;25633;ms;1840;1;156;157;184;187;157;;;;;;;;;;;;;
ftv47.atsp;25410;ms;1850;1;156;155;185;187;156;;;;;;;;;;;;;
ftv47.atsp;25280;ms;1820;1;158;156;185;186;154;;;;;;;;;;;;;
ftv47.atsp;25386;ms;1863;1;156;155;184;186;157;;;;;;;;;;;;;
ftv47.atsp;25658;ms;1806;1;157;154;187;186;158;;;;;;;;;;;;;
ftv47.atsp;25275;ms;1820;1;155;157;188;188;157;;;;;;;;;;;;;
ftv47.atsp;25439;ms;1827;1;157;155;184;186;157;;;;;;;;;;;;;
ftv47.atsp;25318;ms;1845;1;156;154;186;186;158;;;;;;;;;;;;;
ftv47.atsp;25541;ms;1814;1;158;155;187;187;156;;;;;;;;;;;;;
ftv47.atsp;25480;ms;1833;1;160;156;186;187;159;;;;;;;;;;;;;
ftv47.atsp;25374;ms;1777;1;154;158;183;185;157;;;;;;;;;;;;;
ftv47.atsp;25361;ms;1827;1;156;156;188;187;159;;;;;;;;;;;;;
ftv47.atsp;25555;ms;1825;1;149;145;179;178;150;;;;;;;;;;;;;
ftv47.atsp;26014;ms;1790;1;137;136;162;162;138;;;;;;;;;;;;;
ftv47.atsp;25391;ms;1842;1;156;156;186;188;157;;;;;;;;;;;;;
ftv47.atsp;25531;ms;1832;1;153;153;186;186;156;;;;;;;;;;;;;
ftv47.atsp;25447;ms;1827;1;154;155;187;187;156;;;;;;;;;;;;;
ftv47.atsp;25528;ms;1842;1;154;156;187;186;162;;;;;;;;;;;;;
ftv47.atsp;25443;ms;1795;1;157;155;186;187;157;;;;;;;;;;;;;
ftv47.atsp;25391;ms;1840;1;146;146;174;172;144;;;;;;;;;;;;;
ftv47.atsp;25374;ms;1842;1;155;155;186;182;156;;;;;;;;;;;;;
ftv47.atsp;25492;ms;1850;1;156;152;188;182;158;;;;;;;;;;;;;
ftv47.atsp;25471;ms;1842;1;155;154;185;185;154;;;;;;;;;;;;;
ftv47.atsp;25454;ms;1795;1;155;154;185;185;158;;;;;;;;;;;;;
ftv47.atsp;25328;ms;1838;1;158;155;188;186;158;;;;;;;;;;;;;
ftv47.atsp;25438;ms;1842;1;155;154;187;187;157;;;;;;;;;;;;;
ftv47.atsp;25366;ms;1845;1;156;154;185;186;156;;;;;;;;;;;;;
ftv47.atsp;25318;ms;1788;1;156;156;188;186;157;;;;;;;;;;;;;
ftv47.atsp;25388;ms;1827;1;154;153;180;180;153;;;;;;;;;;;;;
